Name,Rating,Hourly Taxed,,,,,,,,,,,,,,,,,,,,,,,,,
Sol Campbell,89,638400,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Hierro,89,208050,,,,,,,,,,,,,,,,,,,,,,,,,
Laurent Blanc,89,676400,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Moore,89,171000,,,,,,,,,,,,,,,,,,,,,,,,,
Fabio Cannavaro,89,363850,,,,,,,,,,,,,,,,,,,,,,,,,
Gennaro Gattuso,89,342000,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Scholes,89,211375,,,,,,,,,,,,,,,,,,,,,,,,,
Pavel Nedved,89,435100,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Laudrup,89,136800,,,,,,,,,,,,,,,,,,,,,,,,,
Gheorghe Hagi,89,323000,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Gerrard,89,616550,,,,,,,,,,,,,,,,,,,,,,,,,
Socrates,89,503500,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Ballack,89,627000,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Giggs,89,150100,,,,,,,,,,,,,,,,,,,,,,,,,
David Trezeguet,89,167200,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Shearer,89,173850,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Lineker,89,289750,,,,,,,,,,,,,,,,,,,,,,,,,
Miroslav Klose,89,164350,,,,,,,,,,,,,,,,,,,,,,,,,
Marco van Basten,89,246050,,,,,,,,,,,,,,,,,,,,,,,,,
Eusebio,89,3420000,,,,,,,,,,,,,,,,,,,,,,,,,
Ronaldinho,89,1187500,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Baggio,89,322050,,,,,,,,,,,,,,,,,,,,,,,,,
Johan Cruyff,89,2434375,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Roman Riquelme,89,196650,,,,,,,,,,,,,,,,,,,,,,,,,
Ferenc Puskas,89,1509550,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Lahm,89,931000,,,,,,,,,,,,,,,,,,,,,,,,,
Bastian Schweinsteiger,89,427500,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Cole,89,522500,,,,,,,,,,,,,,,,,,,,,,,,,
David Beckham,89,456000,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Pirlo,88,299250,,,,,,,,,,,,,,,,,,,,,,,,,
Ronald Koeman,88,361000,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Ferdinand,88,645050,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Desailly,88,693500,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Carlos,88,622250,,,,,,,,,,,,,,,,,,,,,,,,,
Javier Zanetti,88,318250,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro Nesta,88,213750,,,,,,,,,,,,,,,,,,,,,,,,,
Franco Baresi,88,188100,,,,,,,,,,,,,,,,,,,,,,,,,
Paolo Maldini,88,636500,,,,,,,,,,,,,,,,,,,,,,,,,
Hidetoshi Nakata,88,232275,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Sebastian Veron,88,351500,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Rijkaard,88,401850,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Pires,88,156750,,,,,,,,,,,,,,,,,,,,,,,,,
Emmanuel Petit,88,585200,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Overmars,88,291650,,,,,,,,,,,,,,,,,,,,,,,,,
Jari Litmanen,88,152000,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Lampard,88,180500,,,,,,,,,,,,,,,,,,,,,,,,,
Roy Keane,88,304000,,,,,,,,,,,,,,,,,,,,,,,,,
Rui Costa,88,188100,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Vieira,88,2508000,,,,,,,,,,,,,,,,,,,,,,,,,
Clarence Seedorf,88,809400,,,,,,,,,,,,,,,,,,,,,,,,,
Lothar Matthaus,88,947625,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Vieri,88,139650,,,,,,,,,,,,,,,,,,,,,,,,,
Andriy Shevchenko,88,174800,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Owen,88,270750,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Figo,88,483550,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Kluivert,88,200450,,,,,,,,,,,,,,,,,,,,,,,,,
Raul,88,305900,,,,,,,,,,,,,,,,,,,,,,,,,
George Best,88,907250,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Cantona,88,1425000,,,,,,,,,,,,,,,,,,,,,,,,,
Xavi,88,446500,,,,,,,,,,,,,,,,,,,,,,,,,
Petr Cech,88,276450,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Torres,88,750500,,,,,,,,,,,,,,,,,,,,,,,,,
Nemanja Vidic,88,281200,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Alberto Torres,87,846450,,,,,,,,,,,,,,,,,,,,,,,,,
Didier Drogba,87,513000,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Sanchez,87,296400,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Rush,87,180500,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Wright,87,152950,,,,,,,,,,,,,,,,,,,,,,,,,
John Barnes,87,169100,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Dalglish,87,857216.35,,,,,,,,,,,,,,,,,,,,,,,,,
Gianluca Zambrotta,87,323000,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Essien,87,551950,,,,,,,,,,,,,,,,,,,,,,,,,
Pep Guardiola,87,262200,,,,,,,,,,,,,,,,,,,,,,,,,
Kaka,87,546250,,,,,,,,,,,,,,,,,,,,,,,,,
Edwin van der Sar,87,320150,,,,,,,,,,,,,,,,,,,,,,,,,
Sol Campbell,87,503500,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Desailly,87,854050,,,,,,,,,,,,,,,,,,,,,,,,,
Javier Zanetti,87,308750,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Moore,87,203300,,,,,,,,,,,,,,,,,,,,,,,,,
Fabio Cannavaro,87,631750,,,,,,,,,,,,,,,,,,,,,,,,,
Gennaro Gattuso,87,232275,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Jay Okocha,87,177650,,,,,,,,,,,,,,,,,,,,,,,,,
Claude Makelele,87,483550,,,,,,,,,,,,,,,,,,,,,,,,,
Deco,87,147250,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Scholes,87,190000,,,,,,,,,,,,,,,,,,,,,,,,,
Socrates,87,361000,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Giggs,87,178600,,,,,,,,,,,,,,,,,,,,,,,,,
Gianfranco Zola,87,408500,,,,,,,,,,,,,,,,,,,,,,,,,
Henrik Larsson,87,141550,,,,,,,,,,,,,,,,,,,,,,,,,
Filippo Inzaghi,87,139650,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Hernandez,87,356250,,,,,,,,,,,,,,,,,,,,,,,,,
Hernan Crespo,87,270750,,,,,,,,,,,,,,,,,,,,,,,,,
Hristo Stoichkov,87,420850,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Shearer,87,151050,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Lineker,87,154850,,,,,,,,,,,,,,,,,,,,,,,,,
Miroslav Klose,87,142500,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro Del Piero,87,658350,,,,,,,,,,,,,,,,,,,,,,,,,
Emilio Butragueno,87,664050,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Bergkamp,87,193325,,,,,,,,,,,,,,,,,,,,,,,,,
Thierry Henry,87,492100,,,,,,,,,,,,,,,,,,,,,,,,,
Rivaldo,87,349600,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Roman Riquelme,87,173850,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Eto'o,87,1403150,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Lahm,87,445550,,,,,,,,,,,,,,,,,,,,,,,,,
Bastian Schweinsteiger,87,313500,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Cole,87,253650,,,,,,,,,,,,,,,,,,,,,,,,,
Davor Suker,87,320150,,,,,,,,,,,,,,,,,,,,,,,,,
David Beckham,87,788500,,,,,,,,,,,,,,,,,,,,,,,,,
